Votes,Score,English_Name,Favourites_count,Popularity_ranking
1566,1,Fate/Zero,,67
68400,10,Hataraku Maou-sama!,,68
148110,9,Hataraku Maou-sama!,,68
272336,8,Hataraku Maou-sama!,,68
203235,7,Hataraku Maou-sama!,,68
65364,6,Hataraku Maou-sama!,,68
23252,5,Hataraku Maou-sama!,,68
6579,4,Hataraku Maou-sama!,,68
2095,3,Hataraku Maou-sama!,,68
894,2,Hataraku Maou-sama!,,68
843,1,Hataraku Maou-sama!,,68
75030,10,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,,69
126121,9,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,,69
236875,8,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,,69
214373,7,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,,69
85685,6,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,,69
36565,5,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,,69
14426,4,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,,69
6529,3,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,,69
3189,2,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,,69
2130,1,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,,69
117609,10,JoJo no Kimyou na Bouken (TV),,70
165181,9,JoJo no Kimyou na Bouken (TV),,70
246980,8,JoJo no Kimyou na Bouken (TV),,70
177350,7,JoJo no Kimyou na Bouken (TV),,70
64688,6,JoJo no Kimyou na Bouken (TV),,70
24134,5,JoJo no Kimyou na Bouken (TV),,70
9878,4,JoJo no Kimyou na Bouken (TV),,70
3974,3,JoJo no Kimyou na Bouken (TV),,70
2296,2,JoJo no Kimyou na Bouken (TV),,70
3486,1,JoJo no Kimyou na Bouken (TV),,70
130127,10,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,,71
250903,9,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,,71
268273,8,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,,71
103568,7,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,,71
25604,6,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,,71
9222,5,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,,71
3372,4,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,,71
1276,3,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,,71
773,2,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,,71
1664,1,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,,71
97381,10,Overlord,,72
154294,9,Overlord,,72
244729,8,Overlord,,72
161009,7,Overlord,,72
55314,6,Overlord,,72
22595,5,Overlord,,72
9656,4,Overlord,,72
4048,3,Overlord,,72
1880,2,Overlord,,72
1638,1,Overlord,,72
134652,10,Clannad,,73
146608,9,Clannad,,73
172856,8,Clannad,,73
118970,7,Clannad,,73
52701,6,Clannad,,73
26600,5,Clannad,,73
12458,4,Clannad,,73
5388,3,Clannad,,73
3121,2,Clannad,,73
3376,1,Clannad,,73
89949,10,Durarara!!,,74
151127,9,Durarara!!,,74
185362,8,Durarara!!,,74
109499,7,Durarara!!,,74
39502,6,Durarara!!,,74
17320,5,Durarara!!,,74
6090,4,Durarara!!,,74
2003,3,Durarara!!,,74
1003,2,Durarara!!,,74
1116,1,Durarara!!,,74
109514,10,Noragami Aragoto,,75
199720,9,Noragami Aragoto,,75
260124,8,Noragami Aragoto,,75
136203,7,Noragami Aragoto,,75
39600,6,Noragami Aragoto,,75
13502,5,Noragami Aragoto,,75
3673,4,Noragami Aragoto,,75
1098,3,Noragami Aragoto,,75
524,2,Noragami Aragoto,,75
587,1,Noragami Aragoto,,75
133090,10,Kono Subarashii Sekai ni Shukufuku wo! 2,,77
232667,9,Kono Subarashii Sekai ni Shukufuku wo! 2,,77
273229,8,Kono Subarashii Sekai ni Shukufuku wo! 2,,77
123390,7,Kono Subarashii Sekai ni Shukufuku wo! 2,,77
34419,6,Kono Subarashii Sekai ni Shukufuku wo! 2,,77
11764,5,Kono Subarashii Sekai ni Shukufuku wo! 2,,77
4066,4,Kono Subarashii Sekai ni Shukufuku wo! 2,,77
1488,3,Kono Subarashii Sekai ni Shukufuku wo! 2,,77
884,2,Kono Subarashii Sekai ni Shukufuku wo! 2,,77
1098,1,Kono Subarashii Sekai ni Shukufuku wo! 2,,77
130555,10,Bakemonogatari,,76
188505,9,Bakemonogatari,,76
181347,8,Bakemonogatari,,76
86570,7,Bakemonogatari,,76
30663,6,Bakemonogatari,,76
13922,5,Bakemonogatari,,76
6529,4,Bakemonogatari,,76
2984,3,Bakemonogatari,,76
1730,2,Bakemonogatari,,76
2438,1,Bakemonogatari,,76
96706,10,Black Clover,,78
113786,9,Black Clover,,78
155162,8,Black Clover,,78
115017,7,Black Clover,,78
47894,6,Black Clover,,78
26018,5,Black Clover,,78
15169,4,Black Clover,,78
7864,3,Black Clover,,78
4720,2,Black Clover,,78
5573,1,Black Clover,,78
105951,10,High School DxD,,79
94171,9,High School DxD,,79
170500,8,High School DxD,,79
190460,7,High School DxD,,79
98554,6,High School DxD,,79
50453,5,High School DxD,,79
25052,4,High School DxD,,79
12949,3,High School DxD,,79
7853,2,High School DxD,,79
7893,1,High School DxD,,79
115123,10,Tate no Yuusha no Nariagari,,80
174131,9,Tate no Yuusha no Nariagari,,80
225938,8,Tate no Yuusha no Nariagari,,80
133782,7,Tate no Yuusha no Nariagari,,80
48758,6,Tate no Yuusha no Nariagari,,80
21469,5,Tate no Yuusha no Nariagari,,80
10662,4,Tate no Yuusha no Nariagari,,80
4989,3,Tate no Yuusha no Nariagari,,80
2510,2,Tate no Yuusha no Nariagari,,80
2680,1,Tate no Yuusha no Nariagari,,80
92985,10,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,,81
158669,9,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,,81
244456,8,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,,81
143728,7,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,,81
43088,6,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,,81
15322,5,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,,81
5354,4,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,,81
2024,3,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,,81
933,2,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,,81
1180,1,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,,81
52543,10,Kakegurui,8742,82
87994,9,Kakegurui,8742,82
187321,8,Kakegurui,8742,82
203442,7,Kakegurui,8742,82
97020,6,Kakegurui,8742,82
43532,5,Kakegurui,8742,82
20882,4,Kakegurui,8742,82
9079,3,Kakegurui,8742,82
5142,2,Kakegurui,8742,82
4408,1,Kakegurui,8742,82
67761,10,Chuunibyou demo Koi ga Shitai!,,83
115535,9,Chuunibyou demo Koi ga Shitai!,,83
209726,8,Chuunibyou demo Koi ga Shitai!,,83
169812,7,Chuunibyou demo Koi ga Shitai!,,83
62604,6,Chuunibyou demo Koi ga Shitai!,,83
24609,5,Chuunibyou demo Koi ga Shitai!,,83
8589,4,Chuunibyou demo Koi ga Shitai!,,83
3180,3,Chuunibyou demo Koi ga Shitai!,,83
1552,2,Chuunibyou demo Koi ga Shitai!,,83
1456,1,Chuunibyou demo Koi ga Shitai!,,83
190855,10,Haikyuu!! Second Season,,84
254484,9,Haikyuu!! Second Season,,84
212977,8,Haikyuu!! Second Season,,84
75211,7,Haikyuu!! Second Season,,84
16497,6,Haikyuu!! Second Season,,84
5202,5,Haikyuu!! Second Season,,84
1309,4,Haikyuu!! Second Season,,84
495,3,Haikyuu!! Second Season,,84
284,2,Haikyuu!! Second Season,,84
1198,1,Haikyuu!! Second Season,,84
163108,10,Ansatsu Kyoushitsu 2nd Season,,85
217540,9,Ansatsu Kyoushitsu 2nd Season,,85
199581,8,Ansatsu Kyoushitsu 2nd Season,,85
88009,7,Ansatsu Kyoushitsu 2nd Season,,85
25278,6,Ansatsu Kyoushitsu 2nd Season,,85
8886,5,Ansatsu Kyoushitsu 2nd Season,,85
2946,4,Ansatsu Kyoushitsu 2nd Season,,85
1039,3,Ansatsu Kyoushitsu 2nd Season,,85
532,2,Ansatsu Kyoushitsu 2nd Season,,85
899,1,Ansatsu Kyoushitsu 2nd Season,,85
75433,10,Hyouka,,86
131065,9,Hyouka,,86
168855,8,Hyouka,,86
97693,7,Hyouka,,86
35780,6,Hyouka,,86
15493,5,Hyouka,,86
5592,4,Hyouka,,86
1856,3,Hyouka,,86
1019,2,Hyouka,,86
1042,1,Hyouka,,86
194946,10,Mob Psycho 100 II,,87
262472,9,Mob Psycho 100 II,,87
167828,8,Mob Psycho 100 II,,87
52748,7,Mob Psycho 100 II,,87
11515,6,Mob Psycho 100 II,,87
3270,5,Mob Psycho 100 II,,87
961,4,Mob Psycho 100 II,,87
353,3,Mob Psycho 100 II,,87
215,2,Mob Psycho 100 II,,87
1180,1,Mob Psycho 100 II,,87
153450,10,Mahou Shoujo Madoka★Magica,,88
175904,9,Mahou Shoujo Madoka★Magica,,88
166916,8,Mahou Shoujo Madoka★Magica,,88
87499,7,Mahou Shoujo Madoka★Magica,,88
33368,6,Mahou Shoujo Madoka★Magica,,88
14769,5,Mahou Shoujo Madoka★Magica,,88
6732,4,Mahou Shoujo Madoka★Magica,,88
2862,3,Mahou Shoujo Madoka★Magica,,88
1685,2,Mahou Shoujo Madoka★Magica,,88
2310,1,Mahou Shoujo Madoka★Magica,,88
58689,10,Owari no Seraph,,89
85073,9,Owari no Seraph,,89
163091,8,Owari no Seraph,,89
166606,7,Owari no Seraph,,89
71168,6,Owari no Seraph,,89
30775,5,Owari no Seraph,,89
12613,4,Owari no Seraph,,89
5257,3,Owari no Seraph,,89
2335,2,Owari no Seraph,,89
1701,1,Owari no Seraph,,89
40709,10,Deadman Wonderland,,90
74748,9,Deadman Wonderland,,90
147909,8,Deadman Wonderland,,90
175081,7,Deadman Wonderland,,90
93015,6,Deadman Wonderland,,90
41496,5,Deadman Wonderland,,90
20073,4,Deadman Wonderland,,90
8230,3,Deadman Wonderland,,90
3929,2,Deadman Wonderland,,90
2377,1,Deadman Wonderland,,90
104167,10,Sakura-sou no Pet na Kanojo,,91
151369,9,Sakura-sou no Pet na Kanojo,,91
181668,8,Sakura-sou no Pet na Kanojo,,91
110326,7,Sakura-sou no Pet na Kanojo,,91
40463,6,Sakura-sou no Pet na Kanojo,,91
17144,5,Sakura-sou no Pet na Kanojo,,91
6591,4,Sakura-sou no Pet na Kanojo,,91
2564,3,Sakura-sou no Pet na Kanojo,,91
1206,2,Sakura-sou no Pet na Kanojo,,91
1302,1,Sakura-sou no Pet na Kanojo,,91
70637,10,Guilty Crown,,92
88775,9,Guilty Crown,,92
135575,8,Guilty Crown,,92
131162,7,Guilty Crown,,92
69333,6,Guilty Crown,,92
35304,5,Guilty Crown,,92
21251,4,Guilty Crown,,92
9626,3,Guilty Crown,,92
5001,2,Guilty Crown,,92
4012,1,Guilty Crown,,92
108084,10,Kaichou wa Maid-sama!,,93
134361,9,Kaichou wa Maid-sama!,,93
178205,8,Kaichou wa Maid-sama!,,93
124189,7,Kaichou wa Maid-sama!,,93
47222,6,Kaichou wa Maid-sama!,,93
20586,5,Kaichou wa Maid-sama!,,93
7269,4,Kaichou wa Maid-sama!,,93
2842,3,Kaichou wa Maid-sama!,,93
1475,2,Kaichou wa Maid-sama!,,93
1384,1,Kaichou wa Maid-sama!,,93
152359,10,Made in Abyss,,94
195812,9,Made in Abyss,,94
135520,8,Made in Abyss,,94
51741,7,Made in Abyss,,94
15461,6,Made in Abyss,,94
6130,5,Made in Abyss,,94
2590,4,Made in Abyss,,94
1170,3,Made in Abyss,,94
655,2,Made in Abyss,,94
1181,1,Made in Abyss,,94
230451,10,Howl no Ugoku Shiro,,95
204092,9,Howl no Ugoku Shiro,,95
170106,8,Howl no Ugoku Shiro,,95
78026,7,Howl no Ugoku Shiro,,95
23252,6,Howl no Ugoku Shiro,,95
8012,5,Howl no Ugoku Shiro,,95
2848,4,Howl no Ugoku Shiro,,95
933,3,Howl no Ugoku Shiro,,95
459,2,Howl no Ugoku Shiro,,95
781,1,Howl no Ugoku Shiro,,95
119785,10,Samurai Champloo,30823,96
168457,9,Samurai Champloo,30823,96
152148,8,Samurai Champloo,30823,96
71319,7,Samurai Champloo,30823,96
20264,6,Samurai Champloo,30823,96
7388,5,Samurai Champloo,30823,96
2249,4,Samurai Champloo,30823,96
933,3,Samurai Champloo,30823,96
425,2,Samurai Champloo,30823,96
1005,1,Samurai Champloo,30823,96
166279,10,Dragon Ball Z,30704,97
148537,9,Dragon Ball Z,30704,97
187816,8,Dragon Ball Z,30704,97
137092,7,Dragon Ball Z,30704,97
51222,6,Dragon Ball Z,30704,97
21165,5,Dragon Ball Z,30704,97
6574,4,Dragon Ball Z,30704,97
2462,3,Dragon Ball Z,30704,97
1320,2,Dragon Ball Z,30704,97
2072,1,Dragon Ball Z,30704,97
95824,10,Tensei shitara Slime Datta Ken,,98
152706,9,Tensei shitara Slime Datta Ken,,98
210333,8,Tensei shitara Slime Datta Ken,,98
115873,7,Tensei shitara Slime Datta Ken,,98
35769,6,Tensei shitara Slime Datta Ken,,98
14150,5,Tensei shitara Slime Datta Ken,,98
5393,4,Tensei shitara Slime Datta Ken,,98
2147,3,Tensei shitara Slime Datta Ken,,98
938,2,Tensei shitara Slime Datta Ken,,98
1400,1,Tensei shitara Slime Datta Ken,,98
268998,10,Clannad: After Story,,99
146698,9,Clannad: After Story,,99
89648,8,Clannad: After Story,,99
42579,7,Clannad: After Story,,99
17322,6,Clannad: After Story,,99
8374,5,Clannad: After Story,,99
4302,4,Clannad: After Story,,99
1941,3,Clannad: After Story,,99
1450,2,Clannad: After Story,,99
2873,1,Clannad: After Story,,99
58837,10,Bungou Stray Dogs,,100
90297,9,Bungou Stray Dogs,,100
172690,8,Bungou Stray Dogs,,100
135797,7,Bungou Stray Dogs,,100
42559,6,Bungou Stray Dogs,,100
16193,5,Bungou Stray Dogs,,100
5260,4,Bungou Stray Dogs,,100
1832,3,Bungou Stray Dogs,,100
730,2,Bungou Stray Dogs,,100
652,1,Bungou Stray Dogs,,100
